Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type
vbeam laser rabat morocco,31,31,1000,20,0.00,https://www.dabadoc.com/ma/en/traitement-des-verrues/rabat,0,0,0.00,0,485,"[100,0]",2025-11-27,"Local pack, Video, Image",commercial,Organic
dr nadour,41,41,50,15,0.00,https://www.dabadoc.com/ma/en/dentist/marrakech/aicha-nadour,0,0,0.00,0,21800,"[9,9,9,9,19,52,52,14,14,52,9,9]",2025-12-07,"Local pack, Video, Image, Related searches",commercial,Organic
niya ma,60,60,110,18,1.29,https://www.dabadoc.com/ma/en/gastroenterologist/tetouan/mohamed-niya,0,0,0.00,0.04,21700000,"[0,100,0,0,39,0,0,0,0,0,0,0]",2025-10-18,"Sitelinks, Video, Image, Video Carousel, People also ask, Related searches","commercial, informational",Organic
دكتور سكسي,17,17,70,15,0.00,https://www.dabadoc.com/ma/ar/sexologue,0,0,0.00,0,9,"[29,52,29,52,29,29,29,41,41,41,41,29]",2025-11-07,,"commercial, informational",Organic
dada marrakech,44,44,70,11,0.00,https://www.dabadoc.com/ma,0,0,0.00,0,537000,"[81,100,45,100,63,45,45,27,63,27,18,45]",2025-12-16,"Knowledge panel, Image pack, Video, Image, People also ask, Related searches","informational, transactional",Organic
dr mohamed kadiri,36,36,50,16,0.00,https://www.dabadoc.com/ma/en/general-practitioner/tanger/rachid-kadiri-mohamed,0,0,0.00,0,306000,"[100,71,71,100,100,100,100,71,100,57,100,100]",2025-12-04,"Local pack, Video, Image",commercial,Organic
doctiolib,84,84,50,72,1.25,https://www.dabadoc.com/ma,0,0,0.00,0.02,10700000,"[0,100,0,0,0,0,0,0,0,0,0,0]",2025-12-14,"Knowledge panel, Sitelinks, Video, Related searches",navigational,Organic
dr insaf,49,49,40,10,0.00,https://www.dabadoc.com/ma/en/psychologist/agadir/insaf-charaf,0,0,0.00,0.03,2910000,"[63,45,45,45,36,45,45,18,18,18,18,18]",2025-12-14,"Sitelinks, Video, Related searches","commercial, informational",Organic
dar dada casablanca,54,54,140,23,0.00,https://www.dabadoc.com/ma,0,0,0.00,0,559000,"[66,100,66,66,66,52,66,100,66,52,52,52]",2025-11-10,"Knowledge panel, Image pack, Sitelinks, Video, Image, Related searches",informational,Organic
docctolib,94,94,50,72,1.85,https://www.dabadoc.com/ma,0,0,0.00,0.03,11000000,"[0,100,0,0,0,0,0,0,0,0,0,0]",2025-12-26,"Knowledge panel, Sitelinks, Video, People also ask, Related searches",navigational,Organic
كنكور,21,21,50,12,0.00,https://www.dabadoc.com/ma/ar/gynecologue/casablanca/fatima-azzahra-kenkour,0,0,0.00,0,22400000,"[45,45,45,81,63,18,100,18,18,63,18,63]",2025-12-01,"Image pack, Video, Image, People also ask, Related searches",informational,Organic
doctolib medecin,39,39,40,55,0.00,https://www.dabadoc.com/ma,0,0,0.00,0.02,7600000,"[18,18,18,18,18,18,100,100,100,18,18,18]",2025-09-10,"Image pack, Sitelinks, Video, Related searches",navigational,Organic
علاج التهاب المسالك البولية في المنزل للنساء,89,89,50,11,0.00,https://www.dabadoc.com/ma,0,0,0.00,0,609000,"[78,78,0,0,0,0,0,100,78,78,100,0]",2025-12-04,"Image pack, Sitelinks, Image, Related searches, AI overview",informational,Organic
gastrologue in english,70,70,50,30,0.00,https://www.dabadoc.com/ma,0,0,0.00,0,83,"[18,18,0,18,18,100,100,100,100,45,63,63]",2025-09-11,"Image pack, Video, People also ask, Related searches, AI overview",informational,Organic
dr nabil saleh,77,77,90,18,0.00,https://www.dabadoc.com/ma,0,0,0.00,0.02,1010000,"[52,29,41,41,82,52,52,64,41,52,100,52]",2025-11-23,"Local pack, Video",commercial,Organic
docteur sharifi,59,59,140,7,0.00,https://www.dabadoc.com/ma/ophtalmologue/casablanca/charif-khalifi-mohamed,0,0,0.00,0.01,6260,"[28,28,28,28,34,28,28,28,53,100,43,34]",2025-10-28,"Sitelinks, Video, Related searches, AI overview",informational,Organic
docteur sharifi,84,84,140,7,0.00,https://www.dabadoc.com/ma/ar/ophtalmologue/casablanca/charif-khalifi-mohamed,0,0,0.00,0.01,6260,"[28,28,28,28,34,28,28,28,53,100,43,34]",2025-10-28,"Sitelinks, Video, Related searches, AI overview",informational,Organic
ortopediste,56,56,40,23,3.11,https://www.dabadoc.com/ma,0,0,0.00,0.12,2530000,"[19,19,26,0,19,19,0,19,26,7,7,7]",2025-10-28,"Knowledge panel, Video, Image, People also ask, Related searches, AI overview",informational,Organic
dentist marrakech,10,10,50,0,0.00,https://www.dabadoc.com/ma/en/dentist/marrakech,0,0,0.00,0.06,388000,"[11,11,11,64,64,100,64,11,11,11,11,11]",2025-11-02,"Local pack, Video, Image, People also ask, Related searches",commercial,Organic
dentist marrakech,25,25,50,0,0.00,https://www.dabadoc.com/ma/en/cosmetic-dentist/marrakech/bayane-berrada,0,0,0.00,0.06,388000,"[11,11,11,64,64,100,64,11,11,11,11,11]",2025-11-02,"Local pack, Video, Image, People also ask, Related searches",commercial,Organic
dentist marrakech,36,36,50,0,0.00,https://www.dabadoc.com/ma/dentiste/marrakech,0,0,0.00,0.06,388000,"[11,11,11,64,64,100,64,11,11,11,11,11]",2025-11-02,"Local pack, Video, Image, People also ask, Related searches",commercial,Organic
dr loudyi,8,8,70,21,0.00,https://www.dabadoc.com/ma/en/internist/casablanca/aida-loudyi-internist-rheumatologist-casablanca,0,0,0.00,0.01,10400,"[18,18,18,18,18,100,100,100,100,100,100,81]",2025-12-04,"Knowledge panel, Image pack, Video, Image, Related searches",informational,Image pack
dr loudyi,31,31,70,21,0.00,https://www.dabadoc.com/ma/en/internist/casablanca/aida-loudyi-internist-rheumatologist-casablanca,0,0,0.00,0.01,10400,"[18,18,18,18,18,100,100,100,100,100,100,81]",2025-12-04,"Knowledge panel, Image pack, Video, Image, Related searches",informational,Organic
dr tabib,83,83,170,25,0.00,https://www.dabadoc.com/ma,0,0,0.00,0.01,2130000,"[65,43,34,43,65,53,65,53,65,53,53,65]",2025-12-18,"Knowledge panel, Sitelinks, Video, Related searches",commercial,Organic
drlib,90,90,1900,83,1.85,https://www.dabadoc.com/ma,0,0,0.00,0.03,12700000,"[0,0,0,13,4,10,1,4,1,44,66,100]",2025-12-28,"Knowledge panel, Sitelinks, Video, Related searches",navigational,Organic
ديسكي,29,29,50,35,0.00,https://www.dabadoc.com/ma/ar/dermatologue/casablanca/asmaa-disky,0,0,0.00,0,76100,"[100,18,18,100,18,18,100,18,18,100,18,18]",2025-11-30,"Image pack, Sitelinks, Video, People also ask, Short videos",informational,Organic
mohamed sbay,19,19,70,21,0.00,https://www.dabadoc.com/ma/en/thoracic-surgeon/meknes/mohamed-sbay,0,0,0.00,0,129000,"[100,18,18,18,100,18,18,100,100,100,18,18]",2025-11-28,"Image pack, Video, Image","informational, transactional",Organic
mohamed sbay,30,30,70,21,0.00,https://www.dabadoc.com/ma/en/thoracic-surgeon/meknes/mohamed-sbay,0,0,0.00,0,129000,"[100,18,18,18,100,18,18,100,100,100,18,18]",2025-11-28,"Image pack, Video, Image","informational, transactional",Organic
mohamed sbay,43,43,70,21,0.00,https://www.dabadoc.com/ma/chirurgien-thoracique/meknes/mohamed-sbay,0,0,0.00,0,129000,"[100,18,18,18,100,18,18,100,100,100,18,18]",2025-11-28,"Image pack, Video, Image","informational, transactional",Organic
psychothérapeute à proximité,95,95,40,21,0.00,https://www.dabadoc.com/ma/psychotherapeute/casablanca/california,0,0,0.00,0,4390000,"[0,0,0,5,29,82,100,82,5,0,0,0]",2025-12-11,"Sitelinks, People also ask, Related searches, AI overview","commercial, informational",Organic
doctollib,97,97,320,69,1.25,https://www.dabadoc.com/ma,0,0,0.00,0.02,10700000,"[0,55,55,30,76,0,0,0,0,0,0,45]",2025-12-17,"Knowledge panel, Sitelinks, Video, Related searches",navigational,Organic
est meknes,96,96,40,25,0.00,https://www.dabadoc.com/ma,0,0,0.00,0,11100000,"[80,7,7,7,7,7,7,7,7,7,7,7]",2025-11-27,"Knowledge panel, Sitelinks, Video, Related searches",informational,Organic
mohamed belhadji,14,14,40,11,0.00,https://www.dabadoc.com/ma/en/ophthalmologist/casablanca/mohamed-el-belhadji-ophthalmologist-casablanca,0,0,0.00,0,10,"[36,18,18,18,100,18,18,100,18,18,18,18]",2025-11-10,"Image pack, Video, Image, See results about",informational,Organic
mohamed belhadji,44,44,40,11,0.00,https://www.dabadoc.com/ma/en/ophthalmologist/casablanca/mohamed-el-belhadji,0,0,0.00,0,10,"[36,18,18,18,100,18,18,100,18,18,18,18]",2025-11-10,"Image pack, Video, Image, See results about",informational,Organic
mohamed belhadji,55,55,40,11,0.00,https://www.dabadoc.com/ma/en/ophthalmologist/casablanca/mohamed-el-belhadji,0,0,0.00,0,10,"[36,18,18,18,100,18,18,100,18,18,18,18]",2025-11-10,"Image pack, Video, Image, See results about",informational,Organic
mohamed belhadji,99,99,40,11,0.00,https://www.dabadoc.com/ma/ophtalmologue/casablanca/mohamed-el-belhadji,0,0,0.00,0,10,"[36,18,18,18,100,18,18,100,18,18,18,18]",2025-11-10,"Image pack, Video, Image, See results about",informational,Organic
gynecologue,44,44,90,36,0.00,https://www.dabadoc.com/ma,0,0,0.00,0,10,"[36,10,12,0,2,15,5,5,3,15,15,2]",2025-11-13,"Knowledge panel, Image pack, Video, Image, People also ask, Related searches, Things to know, AI overview",informational,Organic
gynecologue,94,94,90,36,0.00,https://www.dabadoc.com/ma,0,0,0.00,0,10,"[36,10,12,0,2,15,5,5,3,15,15,2]",2025-11-13,"Knowledge panel, Image pack, Video, Image, People also ask, Related searches, Things to know, AI overview",informational,Organic
rafiael,46,46,110,73,1.74,https://www.dabadoc.com/ma/en/ophthalmologist/tanger/rafia-el-ghazi-el-hossaini,0,0,0.00,0,368000000,"[39,100,0,0,0,0,0,0,0,0,0,0]",2025-12-07,"Image pack, Sitelinks, Video, Image, Related searches, AI overview",informational,Organic
دكتور جلدية,43,43,70,14,0.00,https://www.dabadoc.com/ma/ar/dermatologue,0,0,0.00,0,12300000,"[64,82,64,100,100,5,11,5,5,5,5,17]",2025-09-10,"Image pack, Video, Featured snippet, Image, Related searches, See results about",informational,Organic
amine bachar,40,40,40,21,0.00,https://www.dabadoc.com/ma/en/general-practitioner/casablanca/abdelkebir-bachar,0,0,0.00,0,87300,"[41,11,11,11,11,11,23,100,11,11,11,11]",2025-12-21,"Image pack, Video, Image, See results about, Short videos",informational,Organic
dr atlassi,15,15,90,14,0.00,https://www.dabadoc.com/ma/en/sexologist/casablanca/mohammed-atlassi-sexologist-casablanca,0,0,0.00,0,49,"[64,50,50,78,64,64,78,50,78,78,64,78]",2025-09-09,"Knowledge panel, Image pack, Video, Related searches",informational,Image pack
dr atlassi,19,19,90,14,0.00,https://www.dabadoc.com/ma/en/internist/casablanca/hassna-atlassi,0,0,0.00,0,49,"[64,50,50,78,64,64,78,50,78,78,64,78]",2025-09-09,"Knowledge panel, Image pack, Video, Related searches",informational,Organic
dr atlassi,28,28,90,14,0.00,https://www.dabadoc.com/ma/en/pediatrician/casablanca/aicha-abid-atlassi,0,0,0.00,0,49,"[64,50,50,78,64,64,78,50,78,78,64,78]",2025-09-09,"Knowledge panel, Image pack, Video, Related searches",informational,Organic
معالج نفسي,40,40,40,17,0.00,https://www.dabadoc.com/ma/ar/psychologue/rabat,0,0,0.00,0,15800000,"[0,11,11,29,41,23,41,100,11,5,5,5]",2025-12-24,"Sitelinks, Video, Image, People also ask, Related searches","commercial, informational",Organic
معالج نفسي,61,61,40,17,0.00,https://www.dabadoc.com/ma/ar/psychologue/casablanca,0,0,0.00,0,15800000,"[0,11,11,29,41,23,41,100,11,5,5,5]",2025-12-24,"Sitelinks, Video, Image, People also ask, Related searches","commercial, informational",Organic
doctolibn,94,94,110,83,1.85,https://www.dabadoc.com/ma,0,0,0.00,0.03,10700000,"[0,0,0,27,0,0,0,0,4,0,0,0]",2025-12-22,"Knowledge panel, Sitelinks, Video, People also ask, Related searches",navigational,Organic
dr zafrani,40,0,40,17,2.31,https://www.dabadoc.com/ma/en/obstetrician-gynecologist/casablanca/dina-yaelle-zafrani,0,0,0.00,0.07,232000,"[11,11,64,11,11,11,11,11,64,11,11,11]",2025-12-31,"Sitelinks, Video, Related searches","commercial, informational",Organic
دكتور نساء وتوليد,97,97,30,6,1.76,https://www.dabadoc.com/ma,0,0,0.00,0.28,10,"[40,40,40,20,60,60,100,100,100,100,40,40]",2025-11-15,"Image pack, Video, Image, People also ask, Related searches, AI overview",informational,Organic
doctaralia,90,90,40,47,0.36,https://www.dabadoc.com/ma,0,0,0.00,0.07,11200000,"[0,8,0,0,0,66,0,0,0,0,0,0]",2025-11-30,"Sitelinks, Video, People also ask, Related searches",navigational,Organic
افضل دكتور ناسور شرجي بالليزر,86,86,140,15,0.00,https://www.dabadoc.com/ma/ar/hemorroides-fistules/casablanca,0,0,0.00,0,46500,"[81,0,100,23,1,0,0,0]",2025-12-20,"Video, Featured snippet, Video Carousel, People also ask, Related searches",informational,Organic
saeyd,48,48,40,21,0.00,https://www.dabadoc.com/ma/en/psychotherapist/marrakech/talhaoui-saeyd,0,0,0.00,0,183000,"[11,82,100,11,11,11,11,11,11,11,11,11]",2025-12-13,"Image pack, Video, Image, Video Carousel",informational,Organic
tichor,20,20,70,22,0.00,https://www.dabadoc.com/ma/en/dentist/marrakech/achraf-tichor,0,0,0.00,0.02,115000,"[0,100,0,0,0,0,0,1,0,1,2,0]",2025-12-25,"Image, See results about",informational,Organic
tichor,44,44,70,22,0.00,https://www.dabadoc.com/ma/en/thoracic-surgeon/marrakech/driss-tichor-1,0,0,0.00,0.02,115000,"[0,100,0,0,0,0,0,1,0,1,2,0]",2025-12-25,"Image, See results about",informational,Organic
tichor,84,84,70,22,0.00,https://www.dabadoc.com/ma/en/general-practitioner/kenitra/driss-tichor,0,0,0.00,0.02,115000,"[0,100,0,0,0,0,0,1,0,1,2,0]",2025-12-25,"Image, See results about",informational,Organic
dermatologist sale,76,76,30,18,2.20,https://www.dabadoc.com/ma/en/dermatologist/sale,0,0,0.00,0.68,45000000,"[0,18,18,18,18,100,18,18,18,18,18,18]",2025-12-14,"Local pack, Sitelinks, Video, Image, Related searches",transactional,Organic
doctolin,95,95,40,28,1.85,https://www.dabadoc.com/ma,0,0,0.00,0.03,10700000,"[0,0,0,0,23,44,1,0,0,0,0,0]",2025-12-22,"Sitelinks, Video, People also ask, Related searches",navigational,Organic
bdoctolib,95,95,50,72,1.85,https://www.dabadoc.com/ma,0,0,0.00,0.03,11000000,"[0,100,0,0,0,0,0,0,0,0,0,0]",2025-12-26,"Knowledge panel, Sitelinks, Video, People also ask, Related searches",navigational,Organic
amina benjelloun,10,10,40,21,0.00,https://www.dabadoc.com/ma/en/general-practitioner/meknes/amina-benjelloun,0,0,0.00,0.33,113000,"[23,23,64,100,11,11,11,11,11,11,11,11]",2025-12-29,"Image pack, Video, Image, See results about, Short videos",informational,Organic
amina benjelloun,42,42,40,21,0.00,https://www.dabadoc.com/ma/chirurgien-vasculaire/rabat/amira-benjelloun,0,0,0.00,0.33,113000,"[23,23,64,100,11,11,11,11,11,11,11,11]",2025-12-29,"Image pack, Video, Image, See results about, Short videos",informational,Organic
amina benjelloun,54,54,40,21,0.00,https://www.dabadoc.com/ma/medecin-generaliste/meknes/amina-benjelloun,0,0,0.00,0.33,113000,"[23,23,64,100,11,11,11,11,11,11,11,11]",2025-12-29,"Image pack, Video, Image, See results about, Short videos",informational,Organic
docteur hami,24,24,70,14,0.00,https://www.dabadoc.com/ma/medecin-generaliste/kenitra/fouzia-hami,0,0,0.00,0.03,65,"[63,45,45,45,45,45,45,18,100,100,63,63]",2025-09-10,"Local pack, Image pack, Video",commercial,Organic
hamatologist,52,52,70,41,2.74,https://www.dabadoc.com/ma/en/hematologist/casablanca/asmae-loukili-idrissi,0,0,0.00,0.06,611,"[30,0,0,45,0,0,0,0,0,0,0,0]",2025-10-17,"Local pack, Video, Image, People also ask, Related searches, AI overview",informational,Organic
imane casablanca,23,23,70,26,0.00,https://www.dabadoc.com/ma/en/gastroenterologist/casablanca/imane-rahmouni-1,0,0,0.00,0,1090000,"[100,55,55,55,77,77,77,55,77,55,77,77]",2025-12-21,"Knowledge panel, Top stories, Video, Image, Video Carousel, Related searches",informational,Organic
imane casablanca,60,60,70,26,0.00,https://www.dabadoc.com/ma/en/gynecologist/casablanca/imane-bekouchi,0,0,0.00,0,1090000,"[100,55,55,55,77,77,77,55,77,55,77,77]",2025-12-21,"Knowledge panel, Top stories, Video, Image, Video Carousel, Related searches",informational,Organic
imane casablanca,96,96,70,26,0.00,https://www.dabadoc.com/ma/en/ophthalmologist/casablanca/imane-mghinia,0,0,0.00,0,1090000,"[100,55,55,55,77,77,77,55,77,55,77,77]",2025-12-21,"Knowledge panel, Top stories, Video, Image, Video Carousel, Related searches",informational,Organic
mortaki,32,32,140,29,0.00,https://www.dabadoc.com/ma/dermatologue/casablanca/abdellah-mortaki,0,0,0.00,0,71300,"[15,19,15,12,12,15,15,15,23,15,19,15]",2025-10-22,"Image pack, Sitelinks, Video, Image, Related searches, AI overview",informational,Organic
mortaki,46,46,140,29,0.00,https://www.dabadoc.com/ma/esthetique-dentaire/casablanca/karim-mortaki,0,0,0.00,0,71300,"[15,19,15,12,12,15,15,15,23,15,19,15]",2025-10-22,"Image pack, Sitelinks, Video, Image, Related searches, AI overview",informational,Organic
mortaki,52,52,140,29,0.00,https://www.dabadoc.com/ma/en/dentist/casablanca/karim-mortaki,0,0,0.00,0,71300,"[15,19,15,12,12,15,15,15,23,15,19,15]",2025-10-22,"Image pack, Sitelinks, Video, Image, Related searches, AI overview",informational,Organic
boc deprotection,75,75,880,29,0.00,https://www.dabadoc.com/ma,0,0,0.00,0,1210000,"[67,55,55,55,67,100,76,76,67,67,67,67]",2025-12-09,"Image pack, Sitelinks, Video, Related searches, AI overview",informational,Organic
مراكز علاج الإدمان في المغرب,6,6,90,6,0.00,https://www.dabadoc.com/ma/ar/addictologue/casablanca,0,0,0.00,0,10,"[50,35,64,100,64]",2025-11-16,"Local pack, Image pack, Video, Video Carousel, People also ask, Related searches",commercial,Organic
مراكز علاج الإدمان في المغرب,23,23,90,6,0.00,https://www.dabadoc.com/ma/ar/addictologue/rabat,0,0,0.00,0,10,"[50,35,64,100,64]",2025-11-16,"Local pack, Image pack, Video, Video Carousel, People also ask, Related searches",commercial,Organic
مراكز علاج الإدمان في المغرب,33,33,90,6,0.00,https://www.dabadoc.com/ma/ar/addictologue/sale,0,0,0.00,0,10,"[50,35,64,100,64]",2025-11-16,"Local pack, Image pack, Video, Video Carousel, People also ask, Related searches",commercial,Organic
kamal benjelloun,14,14,40,25,0.00,https://www.dabadoc.com/ma/en/diabetologist/casablanca/el-mostafa-kamal-benjelloun,0,0,0.00,0,182000,"[29,17,17,23,11,11,41,64,23,17,11,17]",2025-12-17,"Knowledge panel, Video, Image, People also ask, Related searches, Short videos",informational,Organic
kamal benjelloun,24,24,40,25,0.00,https://www.dabadoc.com/ma/diabetologue/casablanca/el-mostafa-kamal-benjelloun,0,0,0.00,0,182000,"[29,17,17,23,11,11,41,64,23,17,11,17]",2025-12-17,"Knowledge panel, Video, Image, People also ask, Related searches, Short videos",informational,Organic
faiz1,30,30,210,24,0.00,https://www.dabadoc.com/ma/en/rheumatologist/casablanca/souad-faiz-1,0,0,0.00,0.33,65400,"[0,0,0,0,0,0,30,100,55,1,1,1]",2025-12-30,"Image pack, Sitelinks, Video, Image, Video Carousel, Related searches","informational, transactional",Organic
pédodontiste à proximité,62,62,50,24,0.00,https://www.dabadoc.com/ma/pedodontiste/casablanca/hay-el-oulfa,0,0,0.00,0,321000,"[0,0,11,29,82,100,82,5,0,0,0]",2025-12-09,People also ask,informational,Organic
linkedin zocdoc,80,80,50,41,0.00,https://www.dabadoc.com/ma,0,0,0.00,0,165000,"[11,11,11,11,64,100,64,11,11,11,11,11]",2025-12-05,"Sitelinks, Related searches",navigational,Organic
anas baba,53,53,260,34,0.00,https://www.dabadoc.com/ma,0,0,0.00,0,4000000,"[9,3,9,17,11,72,14,11,7,72,88,17]",2025-12-08,"Knowledge panel, Top stories, Video, Image, People also ask, Related searches",informational,Organic
dr isaac cohen,36,36,50,10,0.00,https://www.dabadoc.com/ma/en/ear-nose-and-throat-doctor-ent/casablanca/isaac-cohen,0,0,0.00,0,12400000,"[45,45,36,45,45,36,36,45,45,45,45,45]",2025-11-11,"Knowledge panel, Image pack, Video, People also ask","informational, transactional",Organic
دابا,91,91,90,23,0.00,https://www.dabadoc.com/ma,0,0,0.00,0,3670000,"[0,0,0,0,0,0,0,0,3,100,2,3]",2025-12-07,"Image pack, Video, Image, Video Carousel, Related searches","informational, transactional",Organic
دكتور العينين,90,90,90,31,1.79,https://www.dabadoc.com/ma/ar/ophtalmologue/casablanca,0,0,0.00,0.16,181000000,"[50,78,64,50,64,64,64,78,50,64,78,100]",2025-12-25,"Image pack, Sitelinks, Video, People also ask, Related searches, AI overview",informational,Organic
medadel,39,39,40,22,0.00,https://www.dabadoc.com/ma/en/dentist/marrakech/nizar-loukil-ben-med-adel,0,0,0.00,0.33,38800,"[41,29,29,23,29,29,29,41,11,11,11,11]",2025-12-24,,informational,Organic
dentiste doctolib,67,67,70,37,0.00,https://www.dabadoc.com/ma,0,0,0.00,0.09,5920000,"[9,52,52,52,52,52,23,23,23,14,14,9]",2025-11-27,"Sitelinks, Video, Related searches",navigational,Organic
دكتورالاسنان,76,76,1900,9,0.94,https://www.dabadoc.com/ma/ar/dentiste/casablanca,0,0,0.00,0,337000,"[0,0,0,0,3,19,0,19,0,10,54,81]",2025-12-28,"Image pack, Video, Image, Video Carousel, People also ask","informational, transactional",Organic
osteopathe,98,98,480,48,0.00,https://www.dabadoc.com/ma,0,0,0.00,0.01,10400000,"[2,2,4,3,0,3,3,2,3,2,3,2]",2025-09-09,"Knowledge panel, Local pack, Image pack, Video, Image, People also ask, Related searches, Things to know, AI overview",informational,Organic
arfoud,76,76,210,19,0.89,https://www.dabadoc.com/ma,0,0,0.00,0.02,310000,"[18,100,22,54,54,43,66,29,35,22,29,35]",2025-12-25,"Knowledge panel, Video, Image, People also ask, Related searches","commercial, informational",Organic
casa rhino,70,70,50,22,0.63,https://www.dabadoc.com/ma,0,0,0.00,0.12,83,"[100,100,27,45,45,45,45,36,45,18,27,36]",2025-09-09,"Image pack, Sitelinks, Video, Related searches",navigational,Organic
daba daba doo,57,57,110,27,0.00,https://www.dabadoc.com/ma,0,0,0.00,0,938000,"[43,34,34,65,53,43,28,21,21,28,28,28]",2025-12-01,"Image pack, Sitelinks, Video, Video Carousel, Related searches, AI overview",informational,Organic
dr laila attar,22,22,70,12,0.00,https://www.dabadoc.com/ma/en/general-practitioner/casablanca/layla-el-attar,0,0,0.00,0,6,"[81,100,81,63,63,63,63,63,63,63,63,63]",2025-11-16,"Knowledge panel, Video, People also ask",informational,Organic
السكساوي,25,25,390,23,0.00,https://www.dabadoc.com/ma/ar/psychologue/marrakech/oumniya-seksaoui,0,0,0.00,0,78,"[16,13,10,16,13,13,13,10,8,100,67,67]",2025-09-08,,informational,Organic
dioctolib,85,85,170,83,1.25,https://www.dabadoc.com/ma,0,0,0.00,0.02,10700000,"[5,0,36,0,0,0,0,0,81,0,0,0]",2025-12-14,"Knowledge panel, Sitelinks, Video, Related searches",navigational,Organic
casa de sante,76,76,170,24,0.00,https://www.dabadoc.com/ma,0,0,0.00,0.67,82,"[35,35,28,15,23,6,28,35,35,35,35,44]",2025-09-09,"Knowledge panel, Sitelinks, Video, People also ask, Related searches",navigational,Organic
doctor hajar,55,55,70,11,0.00,https://www.dabadoc.com/ma/en/ophthalmologist/fes/hajar-hanguir,0,0,0.00,0.01,4520000,"[27,18,9,18,81,81,81,100,100,81,63,100]",2025-12-02,"Knowledge panel, Video, Related searches",informational,Organic
ostéopathe autour de moi,78,78,480,38,0.00,https://www.dabadoc.com/ma,0,0,0.00,0,4200000,"[3,0,0,0,100,65,1,2,0,0,0,0]",2025-12-26,"Local pack, Sitelinks, Video, Image, People also ask, Related searches",commercial,Organic
dr dabba,74,74,40,12,0.00,https://www.dabadoc.com/ma,0,0,0.00,0,4280000,"[9,9,66,9,9,9,9,9,52,9,9,9]",2025-12-21,"Knowledge panel, Sitelinks, Video, Related searches",commercial,Organic

